CID;Tipo;BTS Name;Direccion;Latitud;Gra;Min;Seg;Longitud;Gra;Min;Seg;Altura;Vector;Tilt;Region
162;GSM;BOG.Ginebra-1_2;Transversal 10A No. 130 - 66;4,706975000;4;42;25,11;-74,031808000;-74;1;54,51;5;110;2;Oriente
163;GSM;BOG.Ginebra-1_3;Transversal 10A No. 130 - 66;4,706975000;4;42;25,11;-74,031808000;-74;1;54,51;5;214;5;Oriente
164;GSM;BOG.Ginebra-1_A;Transversal 10A No. 130 - 66;4,706975000;4;42;25,11;-74,031808000;-74;1;54,51;5;12;4;Oriente
165;GSM;BOG.Ginebra-1_B;Transversal 10A No. 130 - 66;4,706975000;4;42;25,11;-74,031808000;-74;1;54,51;5;110;5;Oriente
166;GSM;BOG.Ginebra-1_C;Transversal 10A No. 130 - 66;4,706975000;4;42;25,11;-74,031808000;-74;1;54,51;5;214;4;Oriente
171;GSM;BOG.Cabrera-1_1;Calle 90 No. 7A - 32;4,670554000;4;40;13,99;-74,045007000;-74;2;42,03;29;340;8;Oriente
172;GSM;BOG.Cabrera-1_2;Calle 90 No. 7A - 32;4,670554000;4;40;13,99;-74,045007000;-74;2;42,03;29;130;-1;Oriente
173;GSM;BOG.Cabrera-1_3;Calle 90 No. 7A - 32;4,670554000;4;40;13,99;-74,045007000;-74;2;42,03;26;270;5;Oriente
174;GSM;BOG.Cabrera-1_A;Calle 90 No. 7A - 32;4,670554000;4;40;13,99;-74,045007000;-74;2;42,03;29;340;7;Oriente
175;GSM;BOG.Cabrera-1_B;Calle 90 No. 7A - 32;4,670554000;4;40;13,99;-74,045007000;-74;2;42,03;29;130;-1;Oriente
176;GSM;BOG.Cabrera-1_C;Calle 90 No. 7A - 32;4,670554000;4;40;13,99;-74,045007000;-74;2;42,03;26;270;5;Oriente
181;GSM;BOG.Santa Barbara-1_1;Transversal 22 No. 123 - 04;4,703060000;4;42;11,02;-74,048200000;-74;2;53,52;16;30;7;Oriente
182;GSM;BOG.Santa Barbara-1_2;Transversal 22 No. 123 - 04;4,703060000;4;42;11,02;-74,048200000;-74;2;53,52;16;120;5;Oriente
183;GSM;BOG.Santa Barbara-1_3;Transversal 22 No. 123 - 04;4,703060000;4;42;11,02;-74,048200000;-74;2;53,52;16;235;7;Oriente
184;GSM;BOG.Santa Barbara-1_A;Transversal 22 No. 123 - 04;4,703060000;4;42;11,02;-74,048200000;-74;2;53,52;30;30;6;Oriente
